muni_PK,codigo_muni,nombre_muni
424,20400,La Jagua de Ibirico
425,20443,Manaure
426,20517,Pailitas
427,20550,Pelaya
428,20570,Pueblo Bello
429,20614,Río de Oro
430,20621,La Paz
431,20710,San Alberto
432,20750,San Diego
433,20770,San Martín
434,20787,Tamalameque
435,20999,Sin Información
436,23001,Montería
437,23068,Ayapel
438,23079,Buenavista
439,23090,Canalete
440,23162,Cereté
441,23168,Chimá
442,23182,Chinú
443,23189,Ciénaga de Oro
444,23300,Cotorra
445,23350,La Apartada
446,23417,Lorica
447,23419,Los Córdobas
448,23464,Momil
449,23466,Montelíbano
450,23500,Moñitos
451,23555,Planeta Rica
452,23570,Pueblo Nuevo
453,23574,Puerto Escondido
454,23580,Puerto Libertador
455,23586,Purísima
456,23660,Sahagún
457,23670,San Andrés Sotavento
458,23672,San Antero
459,23675,San Bernardo del Viento
460,23678,San Carlos
461,23682,San José de Ure
462,23686,San Pelayo
463,23807,Tierralta
464,23815,Tuchín
465,23855,Valencia
466,23999,Sin Información
467,25001,Agua de Dios
468,25019,Albán
469,25035,Anapoima
470,25040,Anolaima
471,25053,Arbeláez
472,25086,Beltrán
473,25095,Bituima
474,25099,Bojacá
475,25120,Cabrera
476,25123,Cachipay
477,25126,Cajicá
478,25148,Caparrapí
479,25151,Cáqueza
480,25154,Carmen de Carupa
481,25168,Chaguaní
482,25175,Chía
483,25178,Chipaque
484,25181,Choachí
485,25183,Chocontá
486,25200,Cogua
487,25214,Cota
488,25224,Cucunubá
489,25245,El Colegio
490,25258,El Peñón
491,25260,El Rosal
492,25269,Facatativá
493,25279,Fómeque
494,25281,Fosca
495,25286,Funza
496,25288,Fúquene
497,25290,Fusagasugá
498,25293,Gachalá
499,25295,Gachancipá
500,25297,Gachetá
501,25299,Gama
502,25307,Girardot
503,25312,Granada
504,25317,Guachetá
505,25320,Guaduas
506,25322,Guasca
507,25324,Guataquí
508,25326,Guatavita
509,25328,Guayabal de Síquima
510,25335,Guayabetal
511,25339,Gutiérrez
512,25368,Jerusalén
513,25372,Junín
514,25377,La Calera
515,25386,La Mesa
516,25394,La Palma
517,25398,La Peña
518,25402,La Vega
519,25407,Lenguazaque
520,25426,Machetá
521,25430,Madrid
522,25436,Manta
523,25438,Medina
524,25473,Mosquera
525,25483,Nariño
526,25486,Nemocón
527,25488,Nilo
528,25489,Nimaima
529,25491,Nocaima
530,25506,Venecia
531,25513,Pacho
532,25518,Paime
533,25524,Pandi
534,25530,Paratebueno
535,25535,Pasca
536,25572,Puerto Salgar
537,25580,Pulí
538,25592,Quebradanegra
539,25594,Quetame
540,25596,Quipile
541,25599,Apulo
542,25612,Ricaurte
543,25645,San Antonio del Tequendama
544,25649,San Bernardo
545,25653,San Cayetano
546,25658,San Francisco
547,25662,San Juan de Río Seco
548,25718,Sasaima
549,25736,Sesquilé
550,25740,Sibaté
551,25743,Silvania
552,25745,Simijaca
553,25754,Soacha
554,25758,Sopó
555,25769,Subachoque
556,25772,Suesca
557,25777,Supatá
558,25779,Susa
559,25781,Sutatausa
560,25785,Tabio
561,25793,Tausa
562,25797,Tena
563,25799,Tenjo
564,25805,Tibacuy
565,25807,Tibirita
566,25815,Tocaima
567,25817,Tocancipá
568,25823,Topaipí
569,25839,Ubalá
570,25841,Ubaque
571,25843,Villa de San Diego de Ubate
572,25845,Une
573,25851,Útica
574,25862,Vergara
575,25867,Vianí
576,25871,Villagómez
577,25873,Villapinzón
578,25875,Villeta
579,25878,Viotá
580,25885,Yacopí
581,25898,Zipacón
582,25899,Zipaquirá
583,25999,Sin Información
584,27001,Quibdó
585,27006,Acandí
586,27025,Alto Baudó
587,27050,Atrato
588,27073,Bagadó
589,27075,Bahía Solano
590,27077,Bajo Baudó
591,27099,Bojayá
592,27135,El Cantón del San Pablo
593,27150,Carmen del Darién
594,27160,Cértegui
595,27205,Condoto
596,27245,El Carmen de Atrato
597,27250,El Litoral del San Juan
598,27361,Istmina
599,27372,Juradó
600,27413,Lloró
601,27425,Medio Atrato
602,27430,Medio Baudó
603,27450,Medio San Juan
604,27491,Nóvita
605,27495,Nuquí
606,27580,Río Iró
607,27600,Río Quito
608,27615,Riosucio
609,27660,San José del Palmar
610,27745,Sipí
611,27787,Tadó
612,27800,Unguía
613,27810,Unión Panamericana
614,27999,Sin Información
615,41001,Neiva
616,41006,Acevedo
617,41013,Agrado
618,41016,Aipe
619,41020,Algeciras
620,41026,Altamira
621,41078,Baraya
622,41132,Campoalegre
623,41206,Colombia
624,41244,Elías
625,41298,Garzón
626,41306,Gigante
627,41319,Guadalupe
628,41349,Hobo
629,41357,Iquira
630,41359,Isnos
631,41378,La Argentina
632,41396,La Plata
633,41483,Nátaga
634,41503,Oporapa
635,41518,Paicol
636,41524,Palermo
637,41530,Palestina
638,41548,Pital
639,41551,Pitalito
640,41615,Rivera
641,41660,Saladoblanco
642,41668,San Agustín
643,41676,Santa María
644,41770,Suaza
645,41791,Tarqui
646,41797,Tesalia
647,41799,Tello
648,41801,Teruel
649,41807,Timaná
650,41872,Villavieja
